Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,toilets,accepts_reservations,has_drinking_water,rv_hookups,pets_allowed,is_cheap,has_showers,has_dump,Column 13,Column 14,Column 15,Column 16
-90.953,42.56,BANK/Bankston Park  CP PH:563.556.6745   SITES:50  AMEN:NH ND NS approx 3.6 mi SE of Holy Cross 42.56 -90.953,BANK,Bankston Park,CP,563.556.6745, , ,50, ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,3.6,SE,Holy Cross
-92.787,42.583,BEAV/Beaver Meadows Co Park  CP PH:319.278.4237   SITES:20  AMEN:E DP FT DW SH approx 0.4 mi N of Parkersburg 42.583 -92.787,BEAV,Beaver Meadows Co Park,CP,319.278.4237, , ,20, ,E DP FT DW SH ,FT,unknown,1,E,unknown,0,1,1,IA,0.4,N,Parkersburg
-93.236,42.768,BEED/Beeds Lake State Park  SP PH:641.456.2047 all year  SITES:144  AMEN:WES DP DW SH RS approx 2.2 mi NW of Hampton 42.768 -93.236,BEED,Beeds Lake State Park,SP,641.456.2047,all year, ,144, ,WES DP DW SH RS ,unknown,1,1,WES,unknown,0,1,1,IA,2.2,NW,Hampton
-90.423,42.247,BELV/Bellevue State Park  SP PH:563.872.4019 all year  SITES:50  AMEN:E DP SH RS approx 0.8 mi S  of Bellevue 42.247 -90.423,BELV,Bellevue State Park,SP,563.872.4019,all year, ,50, ,E DP SH RS ,unknown,1,unknown,E,unknown,0,1,1,IA,0.8,S ,Bellevue
-93.889,42.34,BELM/Bells Mills County Park  CP PH:515.832.9570   SITES:60  AMEN:E DP DW SH L$ approx 5.1 mi N of Stratford 42.34 -93.889,BELM,Bells Mills County Park,CP,515.832.9570, , ,60, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,5.1,N,Stratford
-92.151,41.386,BELD/Belva - Deer Rec Area  CP PH:641.622.3757   SITES:56  AMEN:E DP DW SH approx 4.6 mi NE of Sigourney 41.386 -92.151,BELD,Belva - Deer Rec Area,CP,641.622.3757, , ,56, ,E DP DW SH ,unknown,unknown,1,E,unknown,0,1,1,IA,4.6,NE,Sigourney
-90.922,41.746,BENN/Bennett Park  CP PH:563.886.6930   SITES:13  AMEN:E FT DW SH approx 2.7 mi E of Bennett 41.746 -90.922,BENN,Bennett Park,CP,563.886.6930, , ,13, ,E FT DW SH ,FT,unknown,1,E,unknown,0,1,unknown,IA,2.7,E,Bennett
-91.918,42.162,BENT/Benton City  -  Fry Area  CP PH:319.472.3318   SITES:25  AMEN:E approx 5.2 mi E of Vinton 42.162 -91.918,BENT,Benton City  -  Fry Area,CP,319.472.3318, , ,25, ,E ,unknown,unknown,unknown,E,unknown,0,unknown,unknown,IA,5.2,E,Vinton
-91.852,40.725,BENS/Bentonsport  CP PH:319.293.3589     AMEN:E approx 0.1 mi E of Bentonsport 40.725 -91.852,BENS,Bentonsport,CP,319.293.3589, , , , ,E ,unknown,unknown,unknown,E,unknown,0,unknown,unknown,IA,0.1,E,Bentonsport
-93.386,42.526,BESS/Bessman-Kemp Co Park  CP      AMEN:NH ND NS approx 0.6 mi NW of Alden 42.526 -93.386,BESS,Bessman-Kemp Co Park,CP, , , , , ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,0.6,NW,Alden
-91.226,40.952,BIGH/Big Hollow Creek Park  CP PH:319.753.8260   SITES:48  AMEN:WE DP FT DW SH approx  mi  of Pleasant Grove 40.952 -91.226,BIGH,Big Hollow Creek Park,CP,319.753.8260, , ,48, ,WE DP FT DW SH ,FT,unknown,1,WE,unknown,0,1,1,IA,,,Pleasant Grove
-92.434,42.556,BIGW/Big Woods Lake  CP PH:319.266.6813     AMEN:NH approx 1.5 mi N of Cedar Falls 42.556 -92.434,BIGW,Big Woods Lake,CP,319.266.6813, , , , ,NH ,unknown,unknown,unknown,NH,unknown,0,unknown,unknown,IA,1.5,N,Cedar Falls
-96.326,42.306,BIGE/Bigelow County Park  CP PH:712.946.7114     AMEN:E DP approx 1.9 mi W of Salix 42.306 -96.326,BIGE,Bigelow County Park,CP,712.946.7114, , , , ,E DP ,unknown,unknown,unknown,E,unknown,0,unknown,1,IA,1.9,W,Salix
-92.478,42.563,BLAP/Black Hawk County Park  CP PH:319.433.7275     AMEN:E 40ft approx 2.5 mi NW of Cedar Falls 42.563 -92.478,BLAP,Black Hawk County Park,CP,319.433.7275, , , , ,E 40ft ,unknown,unknown,unknown,E,unknown,0,unknown,unknown,IA,2.5,NW,Cedar Falls
-95.017,42.292,BLAC/Black Hawk State Park  SP PH:712.657.8712 all year  SITES:128  AMEN:E DP DW SH RS L$ approx 2.3 mi SE of Lake View 42.292 -95.017,BLAC,Black Hawk State Park,SP,712.657.8712,all year, ,128, ,E DP DW SH RS L$ ,unknown,1,1,E,unknown,1,1,1,IA,2.3,SE,Lake View
-91.212,43.044,BLOO/Bloody Run County Park  CP PH:563.245.1516   SITES:19  AMEN:NH approx 1.7 mi W of Marquette 43.044 -91.212,BLOO,Bloody Run County Park,CP,563.245.1516, , ,19, ,NH ,unknown,unknown,unknown,NH,unknown,0,unknown,unknown,IA,1.7,W,Marquette
-93.685,41.701,BOBS/Bob Shetler - Saylorville Lake  COE PH:515.276.0873 early may-late sep  SITES:70  AMEN:WES DP DW SH RS PA approx 8.0 mi NW of Des Moines 41.701 -93.685,BOBS,Bob Shetler - Saylorville Lake,COE,515.276.0873,early may-late sep, ,70, ,WES DP DW SH RS PA ,unknown,1,1,WES,1,0,1,1,IA,8,NW,Des Moines
-93.398,40.708,BOBW/Bobwhite State Park  SP PH:641.873.4670   SITES:30  AMEN:E ND NS NR approx 1.7 mi W of Allerton 40.708 -93.398,BOBW,Bobwhite State Park,SP,641.873.4670, , ,30, ,E ND NS NR ,unknown,0,unknown,E,unknown,0,0,0,IA,1.7,W,Allerton
-95.363,41.396,BOTN/Botna Bend County Park  CP PH:712.741.5465 all year  SITES:40  AMEN:WES DP DW SH L$ approx 0.4 mi N  of Hancock 41.396 -95.363,BOTN,Botna Bend County Park,CP,712.741.5465,all year, ,40, ,WES DP DW SH L$ ,unknown,unknown,1,WES,unknown,1,1,1,IA,0.4,N ,Hancock
-93.04,42.236,BREK/Brekke Memorial Park  CP   COMM:primitive   AMEN:NH ND FT DW NS approx 1.4 mi SE of Union 42.236 -93.04,BREK,Brekke Memorial Park,CP, , ,primitive, , ,NH ND FT DW NS ,FT,unknown,1,NH,unknown,0,0,0,IA,1.4,SE,Union
-93.012,40.876,BRID/Bridgeview - Rathbun Lake  COE PH:641.724.3062 early may-late sep  SITES:110  AMEN:E DP DW SH RS PA L$ approx 10.1 mi W of Moravia 40.876 -93.012,BRID,Bridgeview - Rathbun Lake,COE,641.724.3062,early may-late sep, ,110, ,E DP DW SH RS PA L$ ,unknown,1,1,E,1,1,1,1,IA,10.1,W,Moravia
-93.802,42.432,BRIG/Briggs Woods Park  CP PH:515.832.9570   SITES:80  AMEN:WES DP 40ft DW SH L$ approx 2.7 mi S  of Webster City 42.432 -93.802,BRIG,Briggs Woods Park,CP,515.832.9570, , ,80, ,WES DP 40ft DW SH L$ ,unknown,unknown,1,WES,unknown,1,1,1,IA,2.7,S ,Webster City
-91.85,41.224,BRIN/Brinton Timber  CP      AMEN:NH ND NS approx 3.7 mi NW of Brighton 41.224 -91.85,BRIN,Brinton Timber,CP, , , , , ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,3.7,NW,Brighton
-96.326,42.306,BROW/Browns Lake  -  Bigelow Park  CP PH:712.946.7114   SITES:40 approx 2.0 mi W of Salix 42.306 -96.326,BROW,Browns Lake  -  Bigelow Park,CP,712.946.7114, , ,40, ,,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,IA,2,W,Salix
-96.326,42.306,BROW/Browns Lake Bigelow Park  CP PH:712.946.7114     AMEN:E FT DW SH approx 2.0 mi W of Salix 42.306 -96.326,BROW,Browns Lake Bigelow Park,CP,712.946.7114, , , , ,E FT DW SH ,FT,unknown,1,E,unknown,0,1,unknown,IA,2,W,Salix
-93.983,42.394,BRUS/Brushy Creek  State Rec Area  SRA PH:515.543.8298 all year  SITES:180  AMEN:E DP SH RS approx 4.2 mi NE of Lehigh 42.394 -93.983,BRUS,Brushy Creek  State Rec Area,SRA,515.543.8298,all year, ,180, ,E DP SH RS ,unknown,1,unknown,E,unknown,0,1,1,IA,4.2,NE,Lehigh
-92.869,40.85,BUCK/Buck Creek - Rathbun Lake  COE PH:641.724.3206 early may-late sep  SITES:40  AMEN:E DP SH RS PA approx 3.8 mi SW of Moravia 40.85 -92.869,BUCK,Buck Creek - Rathbun Lake,COE,641.724.3206,early may-late sep, ,40, ,E DP SH RS PA ,unknown,1,unknown,E,1,0,1,1,IA,3.8,SW,Moravia
-91.209,42.879,BUCK/Buck Creek County Park  CP   COMM:primitive   AMEN:NH DW  42.879 -91.209,BUCK,Buck Creek County Park,CP, , ,primitive, , ,NH DW ,unknown,unknown,1,NH,unknown,0,unknown,unknown,IA,,,
-95.338,42.884,BUEN/Buena Vista Co Park  CP PH:712.295.7985   SITES:18  AMEN:E FT DW SH RS L$ approx 4.7 mi W of Linn Grove 42.884 -95.338,BUEN,Buena Vista Co Park,CP,712.295.7985, , ,18, ,E FT DW SH RS L$ ,FT,1,1,E,unknown,1,1,unknown,IA,4.7,W,Linn Grove
-91.687,42.471,BUFA/Buffalo Creek Area  CP   COMM:primitive   AMEN:NH ND VT NS approx 2.4 mi E of Winthrop 42.471 -91.687,BUFA,Buffalo Creek Area,CP, , ,primitive, , ,NH ND VT NS ,VT,unknown,unknown,NH,unknown,0,0,0,IA,2.4,E,Winthrop
-91.542,42.287,BUFC/Buffalo Creek County Park  CP PH:319.892.6450   SITES:18  AMEN:WE DP approx 0.7 mi NW of Coggon 42.287 -91.542,BUFC,Buffalo Creek County Park,CP,319.892.6450, , ,18, ,WE DP ,unknown,unknown,unknown,WE,unknown,0,unknown,1,IA,0.7,NW,Coggon
-90.745,41.454,BUFF/Buffalo Shores County Park  CP PH:563.328.3281   SITES:65  AMEN:WE DP DW SH approx 1.2 mi W of Buffalo 41.454 -90.745,BUFF,Buffalo Shores County Park,CP,563.328.3281, , ,65, ,WE DP DW SH ,unknown,unknown,1,WE,unknown,0,1,1,IA,1.2,W,Buffalo
-90.182,41.935,BULG/Bulgers Hollow - Mississippi River  COE PH:815.259.3628   SITES:25  AMEN:NH DP NS NR L$ approx 6.2 mi N of Clinton 41.935 -90.182,BULG,Bulgers Hollow - Mississippi River,COE,815.259.3628, , ,25, ,NH DP NS NR L$ ,unknown,0,unknown,NH,unknown,1,0,1,IA,6.2,N,Clinton
-96.319,42.637,BURO/Bur Oak - Hillview County Rec Area  CP    SITES:18  AMEN:NH VT DW NS approx  mi  of Hinton 42.637 -96.319,BURO,Bur Oak - Hillview County Rec Area,CP, , , ,18, ,NH VT DW NS ,VT,unknown,1,NH,unknown,0,0,unknown,IA,,,Hinton
-94.401,43.488,BURT/Burt Lake County Park  CP PH:515.295.2138 early apr-late oct COMM:noisy   AMEN:E DP DW L$ approx 8.4 mi NW of Swea City 43.488 -94.401,BURT,Burt Lake County Park,CP,515.295.2138,early apr-late oct,noisy, , ,E DP DW L$ ,unknown,unknown,1,E,unknown,1,unknown,1,IA,8.4,NW,Swea City
-92.761,42.844,CAMP/Camp Comfort   CP    SITES:40  AMEN:E ND FT DW NS approx  mi  of Greene 42.844 -92.761,CAMP,Camp Comfort ,CP, , , ,40, ,E ND FT DW NS ,FT,unknown,1,E,unknown,0,0,0,IA,,,Greene
-95.043,42.308,CAMC/Camp Crescent Park  CP PH:712.657.2189     AMEN:E DP DW SH L$ approx 0.6 mi E of Lake View 42.308 -95.043,CAMC,Camp Crescent Park,CP,712.657.2189, , , , ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,0.6,E,Lake View
-91.014,41.162,CAPP/Cappy Russell Access  COE   COMM:no facilities   AMEN:NH ND NT NW NS NR N$ approx 4.6 mi N of Oakville 41.162 -91.014,CAPP,Cappy Russell Access,COE, , ,no facilities, , ,NH ND NT NW NS NR N$ ,NT,0,0,NH,unknown,0,0,0,IA,4.6,N,Oakville
-95.424,41.237,CARS/Carson City Park  CP    SITES:15  AMEN:WE DP FT DW SH L$ approx  mi  of Carson 41.237 -95.424,CARS,Carson City Park,CP, , , ,15, ,WE DP FT DW SH L$ ,FT,unknown,1,WE,unknown,1,1,1,IA,,,Carson
-94.517,41.509,CASE/Casey City Park - Abram Rutt  CP PH:641.746.3315 all year  SITES:10  AMEN:E DP DW SH L$ approx 0.3 mi N of Casey 41.509 -94.517,CASE,Casey City Park - Abram Rutt,CP,641.746.3315,all year, ,10, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,0.3,N,Casey
-92.494,42.76,CEDA/Cedar Bend Park  CP    SITES:40  AMEN:E DP DW SH N$ approx 2.6 mi NW of Waverly 42.76 -92.494,CEDA,Cedar Bend Park,CP, , , ,40, ,E DP DW SH N$ ,unknown,unknown,1,E,unknown,0,1,1,IA,2.6,NW,Waverly
-92.855,43.283,CEDA/Cedar Bridge County Park  CP    SITES:18  AMEN:WE DP FT DW SH approx 1.8 mi W of Osage 43.283 -92.855,CEDA,Cedar Bridge County Park,CP, , , ,18, ,WE DP FT DW SH ,FT,unknown,1,WE,unknown,0,1,1,IA,1.8,W,Osage
-92.859,41.258,CEDA/Cedar Creek Access  CP   COMM:primitive   AMEN:NH ND NS approx 11.1 mi W of Oskaloosa 41.258 -92.859,CEDA,Cedar Creek Access,CP, , ,primitive, , ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,11.1,W,Oskaloosa
-91.235,41.721,CEDA/Cedar Valley Co Park  CP    SITES:30  AMEN:E ND l$ approx 26.2 mi N of Cedar Bluffs 41.721 -91.235,CEDA,Cedar Valley Co Park,CP, , , ,30, ,E ND l$ ,unknown,unknown,unknown,E,unknown,0,unknown,0,IA,26.2,N,Cedar Bluffs
-92.548,42.959,CEDV/Cedar View Park  CP PH:641.435.4156     AMEN:E DW SH approx 0.7 mi NW of Nashua 42.959 -92.548,CEDV,Cedar View Park,CP,641.435.4156, , , , ,E DW SH ,unknown,unknown,1,E,unknown,0,1,unknown,IA,0.7,NW,Nashua
-91.138,42.11,CENT/Central Park  CP PH:563.487.3541 mid apr-mid oct  SITES:100  AMEN:WES DP FT DW approx 2.6 mi W of Center Junctio 42.11 -91.138,CENT,Central Park,CP,563.487.3541,mid apr-mid oct, ,100, ,WES DP FT DW ,FT,unknown,1,WES,unknown,0,unknown,1,IA,2.6,W,Center Junctio
-92.206,41.303,CHAC/Chacauqua River Access  CP   COMM:river ramp - primitive - unknown facilities   AMEN:NH ND NS approx  mi  of Sigourney 41.303 -92.206,CHAC,Chacauqua River Access,CP, , ,river ramp - primitive - unknown facilities, , ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,,,Sigourney
-95.557,42.738,CHEK/Cherokee City Park  CP PH:712.225.5749     AMEN:E DP approx 0.8 mi S  of Cherokee 42.738 -95.557,CHEK,Cherokee City Park,CP,712.225.5749, , , , ,E DP ,unknown,unknown,unknown,E,unknown,0,unknown,1,IA,0.8,S ,Cherokee
-93.68,41.732,CHER/Cherry Glen - Saylorville Lake  COE PH:515.964.8792 mid apr-mid oct  SITES:125  AMEN:WES DP 60ft DW SH RS PA approx 9.8 mi N  of Des Moines 41.732 -93.68,CHER,Cherry Glen - Saylorville Lake,COE,515.964.8792,mid apr-mid oct, ,125, ,WES DP 60ft DW SH RS PA ,unknown,1,1,WES,1,0,1,1,IA,9.8,N ,Des Moines
-93.429,41.791,CHIC/Chichaqua Bottoms Greenbelt  CP PH:515.967.2596   SITES:36  AMEN:E DW SH approx 7.1 mi S  of Maxwell 41.791 -93.429,CHIC,Chichaqua Bottoms Greenbelt,CP,515.967.2596, , ,36, ,E DW SH ,unknown,unknown,1,E,unknown,0,1,unknown,IA,7.1,S ,Maxwell
-92.503,43.033,CHIS/Chickasaw Park  CP      AMEN:NH ND PT NS approx 2.4 mi W of Ionia 43.033 -92.503,CHIS,Chickasaw Park,CP, , , , , ,NH ND PT NS ,PT,unknown,unknown,NH,unknown,0,0,0,IA,2.4,W,Ionia
-96.17,43.07,CHIL/Childrens Park  CP PH:712.722.0761     AMEN:E ND NS NR L$ approx 0.8 mi SE of Sioux Center 43.07 -96.17,CHIL,Childrens Park,CP,712.722.0761, , , , ,E ND NS NR L$ ,unknown,0,unknown,E,unknown,1,0,0,IA,0.8,SE,Sioux Center
-91.939,43.423,CHIM/Chimney Rock County Park  CP   COMM:primitive   AMEN:NH ND VT NS NR approx 9.2 mi E of Cresco 43.423 -91.939,CHIM,Chimney Rock County Park,CP, , ,primitive, , ,NH ND VT NS NR ,VT,0,unknown,NH,unknown,0,0,0,IA,9.2,E,Cresco
-93.499,40.863,CIND/Cinder Path RV Park  CP PH:641.877.6841   SITES:14  AMEN:E DP DW NS approx 0.3 mi N  of Humeston 40.863 -93.499,CIND,Cinder Path RV Park,CP,641.877.6841, , ,14, ,E DP DW NS ,unknown,unknown,1,E,unknown,0,0,1,IA,0.3,N ,Humeston
-90.809,41.458,CLAR/Clarks Ferry - Mississippi River  COE PH:563.381.4043 early apr-late sep  SITES:45  AMEN:E DP SH RS PA approx 12.3 mi E of Muscatine 41.458 -90.809,CLAR,Clarks Ferry - Mississippi River,COE,563.381.4043,early apr-late sep, ,45, ,E DP SH RS PA ,unknown,1,unknown,E,1,0,1,1,IA,12.3,E,Muscatine
-93.389,43.111,CLEA/Clear Lake State Park  SP PH:641.357.4212 all year  SITES:215  AMEN:WES DP 60ft DW SH RS L$ approx 2.3 mi S  of Clear Lake 43.111 -93.389,CLEA,Clear Lake State Park,SP,641.357.4212,all year, ,215, ,WES DP 60ft DW SH RS L$ ,unknown,1,1,WES,unknown,1,1,1,IA,2.3,S ,Clear Lake
-95.476,42.351,COBB/Cobb City Park  CP PH:712.364.2958   SITES:45  AMEN:WE DP DW SH L$ approx 0.4 mi NW of Ida Grove 42.351 -95.476,COBB,Cobb City Park,CP,712.364.2958, , ,45, ,WE DP DW SH L$ ,unknown,unknown,1,WE,unknown,1,1,1,IA,0.4,NW,Ida Grove
-95.136,41.255,COCK/Cocklin Fish Farm  CP PH:712.769.2372   SITES:56  AMEN:E FT NS approx 1.4 mi N of Griswold 41.255 -95.136,COCK,Cocklin Fish Farm,CP,712.769.2372, , ,56, ,E FT NS ,FT,unknown,unknown,E,unknown,0,0,unknown,IA,1.4,N,Griswold
-91.534,42.494,COFF/Coffins Grove  CP PH:563.927.3410   SITES:25  AMEN:E DP approx 3.9 mi W of Manchester. 42.494 -91.534,COFF,Coffins Grove,CP,563.927.3410, , ,25, ,E DP ,unknown,unknown,unknown,E,unknown,0,unknown,1,IA,3.9,W,Manchester.
-95.084,41.291,COLS/Cold Spring Park  CP PH:712.769.2372   SITES:80  AMEN:E DP DW SH approx 1.0 mi S  of Lewis 41.291 -95.084,COLS,Cold Spring Park,CP,712.769.2372, , ,80, ,E DP DW SH ,unknown,unknown,1,E,unknown,0,1,1,IA,1,S ,Lewis
-92.642,43.156,COLW/Colwell County Park  CP PH:641.756.3490     AMEN:NH ND NS N$ approx 2.4 mi W of Colwell 43.156 -92.642,COLW,Colwell County Park,CP,641.756.3490, , , , ,NH ND NS N$ ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,2.4,W,Colwell
-94.465,42.624,COOP/Coopers Cove Co Park  CP  mid apr-mid oct  SITES:12  AMEN:E DP FT DW SH approx 6.5 mi W of Clare 42.624 -94.465,COOP,Coopers Cove Co Park,CP, ,mid apr-mid oct, ,12, ,E DP FT DW SH ,FT,unknown,1,E,unknown,0,1,1,IA,6.5,W,Clare
-93.335,40.751,CORY/Corydon Lake Co Park  CP    SITES:20  AMEN:WE ND FT DW SH approx 1.0 mi SW of Corydon 40.751 -93.335,CORY,Corydon Lake Co Park,CP, , , ,20, ,WE ND FT DW SH ,FT,unknown,1,WE,unknown,0,1,0,IA,1,SW,Corydon
-91.53,41.723,COTT/Cottonwood - Coralville Lake  COE PH:515.276.4656 mid apr-mid oct    AMEN:NH DP SH RS PA approx 4.3 mi N of Iowa City 41.723 -91.53,COTT,Cottonwood - Coralville Lake,COE,515.276.4656,mid apr-mid oct, , , ,NH DP SH RS PA ,unknown,1,unknown,NH,1,0,1,1,IA,4.3,N,Iowa City
-95.601,42.275,CRAW/Crawford Creek County Rec Area  CP   COMM:3 campgrounds SITES:24  AMEN:E DP DW SH approx 2.8 mi S  of Battle Creek 42.275 -95.601,CRAW,Crawford Creek County Rec Area,CP, , ,3 campgrounds,24, ,E DP DW SH ,unknown,unknown,1,E,unknown,0,1,1,IA,2.8,S ,Battle Creek
-94.044,41.213,CRIS/Criss Cove County Park  CP    SITES:16  AMEN:WE ND VT NS L$ approx 8.3 mi S  of Winterset. 41.213 -94.044,CRIS,Criss Cove County Park,CP, , , ,16, ,WE ND VT NS L$ ,VT,unknown,unknown,WE,unknown,1,0,0,IA,8.3,S ,Winterset.
-93.19,42.478,CROS/Cross Ford River Access  CP   COMM:primitive   AMEN:NH ND NS approx 4.8 mi SE of Iowa Falls 42.478 -93.19,CROS,Cross Ford River Access,CP, , ,primitive, , ,NH ND NS ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,4.8,SE,Iowa Falls
-93.783,43.23,CRYS/Crystal Lake Park  CP    SITES:95  AMEN:E DP FT DW SH NR L$ approx 0.7 mi NE of Crystal Lake 43.23 -93.783,CRYS,Crystal Lake Park,CP, , , ,95, ,E DP FT DW SH NR L$ ,FT,0,1,E,unknown,1,1,1,IA,0.7,NE,Crystal Lake
-92.063,42.544,CUTS/Cutshall Area  CP   COMM:primitive   AMEN:NH VT approx 4.7 mi N of Jesup 42.544 -92.063,CUTS,Cutshall Area,CP, , ,primitive, , ,NH VT ,VT,unknown,unknown,NH,unknown,0,unknown,unknown,IA,4.7,N,Jesup
